,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,dossor,47.53,52.98,49.41,54,96,7.47,KZ
1,georgetown,5.41,100.34,81.28,88,20,5.82,MY
2,punta arenas,-53.15,-70.92,41.0,68,75,6.93,CL
3,castro,-24.79,-50.01,62.94,89,58,5.91,BR
4,ushuaia,-54.8,-68.3,41.0,75,75,5.82,AR
5,lazaro cardenas,17.96,-102.2,80.4,87,40,4.85,MX
6,yellowknife,62.46,-114.35,21.07,79,20,9.17,CA
7,bosaso,11.28,49.18,83.66,37,39,8.14,SO
8,yumen,40.28,97.2,54.63,32,0,9.13,CN
9,rikitea,-23.12,-134.97,74.08,75,24,9.31,PF
10,bolobo,-2.17,16.23,71.96,91,100,5.32,CD
11,kapaa,22.08,-159.32,80.35,78,90,4.7,US
12,albany,42.6,-73.97,56.37,80,100,4.03,US
13,vaini,-21.2,-175.2,77.0,69,75,10.29,TO
14,bathsheba,13.22,-59.52,82.4,74,20,9.17,BB
15,busselton,-33.65,115.33,65.21,42,0,6.29,AU
16,nome,64.5,-165.41,40.08,80,40,6.93,US
17,tuktoyaktuk,69.45,-133.04,23.0,92,90,16.11,CA
18,butaritari,3.07,172.79,82.38,73,46,10.36,KI
19,sur,22.57,59.53,72.57,66,0,4.72,OM
20,enshi,30.3,109.48,63.05,66,6,1.36,CN
21,bredasdorp,-34.53,20.04,41.0,93,0,2.24,ZA
22,namibe,-15.2,12.15,67.87,84,100,6.96,AO
23,nchelenge,-9.35,28.73,73.96,73,98,9.89,ZM
24,kaitangata,-46.28,169.85,56.82,47,57,2.66,NZ
25,ribeira grande,38.52,-28.7,63.55,68,78,25.43,PT
26,karratha,-20.74,116.85,87.21,28,71,11.7,AU
27,praia,14.92,-23.51,80.6,83,92,9.17,CV
28,ferrol,43.48,-8.24,58.42,93,20,10.29,ES
29,jamestown,42.1,-79.24,47.86,93,90,6.93,US
30,durban,-29.86,31.03,61.79,89,95,1.01,ZA
31,barrow,71.29,-156.79,26.6,86,90,13.87,US
32,ceuta,35.89,-5.31,68.0,82,68,14.99,ES
33,oum hadjer,13.3,19.7,81.07,16,4,7.67,TD
34,torbay,47.67,-52.73,57.61,93,90,19.46,CA
35,alugan,12.22,125.48,85.57,73,100,12.59,PH
36,kavieng,-2.57,150.8,81.91,77,98,7.4,PG
